Data length, Time, Total bytes, Data rate, Errors
25000, 0.990, 59793, 60396.969, 0
25000, 1.092, 59793, 54755.492, 0
25000, 1.057, 59793, 56568.590, 0
25000, 1.549, 59793, 38601.031, 0
25000, 1.049, 59793, 57000.000, 0
25000, 0.948, 59793, 63072.785, 0
25000, 1.122, 59793, 53291.445, 0
25000, 1.136, 59793, 52634.680, 0
26000, 1.120, 59793, 53386.605, 0
26000, 1.123, 59793, 53243.988, 0
26000, 1.041, 59793, 57438.039, 0
26000, 1.093, 59793, 54705.395, 0
26000, 1.060, 59793, 56408.492, 0
26000, 1.077, 59793, 55518.105, 0
26000, 1.028, 59793, 58164.398, 0
26000, 1.079, 59793, 55415.199, 0
26000, 1.056, 59793, 56622.160, 0
26000, 1.032, 59793, 57938.957, 0
26000, 0.968, 59793, 61769.629, 0
26000, 0.982, 59793, 60889.004, 0
26000, 1.051, 59793, 56891.531, 0
26000, 1.046, 59793, 57163.480, 0
26000, 1.043, 59793, 57327.902, 0
26000, 1.095, 59793, 54605.477, 0
26000, 1.174, 59793, 50931.004, 0
26000, 0.742, 59793, 80583.562, 0
26000, 1.073, 59793, 55725.074, 0
26000, 1.031, 59793, 57995.148, 0
27000, 0.997, 59793, 59972.922, 0
27000, 1.159, 59793, 51590.164, 0
27000, 1.062, 59793, 56302.258, 0
27000, 1.136, 59793, 52634.680, 0
27000, 1.069, 59793, 55933.582, 0
27000, 1.059, 59793, 56461.754, 0
27000, 1.016, 59793, 58851.375, 0
27000, 0.986, 59793, 60641.988, 0
27000, 1.433, 59793, 41725.750, 0
27000, 1.058, 59793, 56515.125, 0
27000, 0.947, 59793, 63139.387, 0
27000, 1.077, 59793, 55518.105, 0
27000, 1.092, 59793, 54755.492, 0
27000, 1.149, 59793, 52039.164, 0
27000, 1.035, 59793, 57771.016, 0
27000, 1.036, 59793, 57715.250, 0
27000, 1.034, 59793, 57826.883, 0
27000, 1.139, 59793, 52496.047, 0
27000, 1.037, 59793, 57659.598, 0
27000, 1.003, 59793, 59614.156, 0
28000, 1.064, 59793, 56196.430, 0
28000, 1.067, 59793, 56038.426, 0
28000, 0.851, 59793, 70262.047, 0
28000, 0.960, 59793, 62284.375, 0
